Rk,Team,Seed,Conf,W,L,AdjEM,AdjO,AdjO_R,AdjD,AdjD_R,AdjT,AdjT_R,Luck,Luck_R,AdjEM2,AdjEM_R,OppO,OppO_R,OppD,OppD_R,AdjEM3,AdjEM_R4,R64,R32,R16,R8,R4,R2,Winner,Conference,year,prob_loss,prob_win,Outcome,prob_loss_new,prob_win_new,Outcome_new
181,Iona,15,MAAC,12,5,-1.04,100.4,210,101.4,161,68.3,185,0.038,92,-7.05,319,97.4,321,104.4,278,-0.41,217,1.0,,,,,,,E,2021,0.913333333,0.08666666699999999,0,0.9099999995218032,0.09000000047819683,0
40,Utah St.,11,MWC,20,8,16.51,105.7,112,89.2,8,68.9,154,-0.032,248,5.13,119,104.8,122,99.7,127,7.49,88,1.0,,,,,,,S,2021,0.861562997,0.138437003,0,0.8515172639766249,0.14848273602337525,0
78,Ohio,13,MAC,16,7,11.11,113.0,29,101.9,174,69.3,131,0.027000000000000003,113,4.23,133,105.3,108,101.1,146,1.47,191,1.0,,,,,,,W,2021,0.879997372,0.12000262800000001,0,0.8899970242078606,0.11000297579213941,0
219,Mount St. Mary's,16,NEC,12,10,-5.01,95.4,287,100.4,136,62.2,356,0.006,157,-6.06,303,99.4,274,105.5,321,11.52,44,,,,,,,,E,2021,0.966666659,0.033333341,0,0.9433333259818505,0.05666667401814942,0
229,Texas Southern,16,SWAC,16,8,-6.05,99.0,236,105.0,236,72.0,41,0.055,61,-10.23,341,94.0,341,104.2,267,13.39,30,,,,,,,,E,2021,0.9899999909999999,0.010000009,0,0.9999999914839184,8.516081640132593e-09,0
110,Eastern Washington,14,BSky,16,7,6.65,107.7,86,101.0,152,72.3,28,-0.081,323,-3.21,236,100.6,237,103.8,241,17.77,12,1.0,,,,,,,W,2021,0.9633331509999999,0.036666849,0,0.9466664980111571,0.053333501988842874,0
91,Winthrop,12,BSth,23,1,8.94,105.1,120,96.2,70,73.6,11,0.032,103,-6.45,309,98.8,289,105.3,316,3.95,147,1.0,,,,,,,S,2021,0.899985907,0.10001409300000001,0,0.9033177438258527,0.09668225617414726,0
108,Grand Canyon,15,WAC,17,6,6.98,103.6,142,96.6,74,65.5,314,-0.061,299,-4.01,255,100.3,245,104.3,270,0.68,201,1.0,,,,,,,W,2021,0.9766653040000001,0.023334696000000002,0,0.9666651979100159,0.03333480208998395,0
71,North Texas,13,CUSA,17,9,11.7,105.4,119,93.7,42,63.1,350,-0.042,271,4.33,132,103.5,158,99.1,116,5.22,124,1.0,,,,,,,S,2021,0.72653886,0.27346114,0,0.7198725355029966,0.28012746449700343,0
209,Appalachian St.,16,SB,17,11,-4.34,99.4,227,103.7,205,65.7,310,0.06,52,-2.97,232,100.1,249,103.1,221,5.72,113,,,,,,,,W,2021,0.983330061,0.016669938999999998,0,0.9766636355903285,0.02333636440967154,0
84,Colgate,14,Pat,14,1,10.22,110.9,43,100.7,140,72.4,25,0.05,71,-6.6,313,99.1,283,105.7,328,-99.0,331,1.0,,,,,,,S,2021,0.812254157,0.187745843,0,0.8210258669666177,0.1789741330333823,0
146,Drexel,16,CAA,12,7,1.62,107.1,95,105.5,247,64.2,340,-0.043,273,-3.31,238,100.4,242,103.7,240,-5.56,289,1.0,,,,,,,M,2021,0.926666665,0.073333335,0,0.9166666643507778,0.08333333564922224,0
200,Norfolk St.,16,MEAC,16,7,-3.74,100.6,204,104.4,219,67.7,221,0.031,106,-8.31,334,96.9,326,105.2,312,-0.73,224,,,,,,,,W,2021,0.929999976,0.07000002400000001,0,0.999999973384092,2.6615907911890126e-08,0
152,Oral Roberts,15,Sum,16,10,1.22,108.7,74,107.4,285,71.8,47,0.013000000000000001,147,0.01,177,102.9,173,102.8,206,21.34,4,1.0,,,,,,,S,2021,0.9566663790000001,0.043333620999999996,0,0.9599997650935045,0.04000023490649549,0
192,Hartford,16,AE,15,8,-2.73,97.5,254,100.2,127,66.7,269,0.078,32,-6.24,304,98.2,309,104.4,276,-0.13,213,1.0,,,,,,,S,2021,0.926666543,0.073333457,0,0.9233331958980692,0.07666680410193079,0
